+-------+------------------+------------------+------------+------------+
|   Z   |        F         |     F deriv      |     U      |    divF    |
| 0.018 |  278.1335794837  |  278.9276820872  | 2.2217e-06 | 90657.759  |
| 0.018 |  279.7217847019  |  280.5159181392  | 2.2217e-06 | 90660.074  |
| 0.018 |  281.3100515878  |  282.1042160361  | 2.2217e-06 | 90662.402  |
| 0.018 |  282.8983804959  |  283.6925761188  | 2.2217e-06 | 90664.742  |
| 0.018 |  284.4867717533  |  285.2809987075  | 2.2217e-06 | 90667.096  |
| 0.018 |  286.0752256736  |  286.8694841296  | 2.2217e-06 | 90669.463  |
| 0.018 |  287.6637425976  |  288.4580327122  | 2.2217e-06 | 90671.843  |
| 0.018 |  289.252322839   |  290.0466447826  | 2.2217e-06 | 90674.236  |
| 0.018 |  290.8409667386  |  291.6353206679  | 2.2217e-06 | 90676.642  |
| 0.019 |  292.4296746099  |  293.2240607091  | 2.2216e-06 | 90679.061  |
| 0.019 |  294.0184468211  |  294.8128652333  | 2.2216e-06 | 90681.493  |
| 0.019 |  295.6072836586  |  296.401734561   | 2.2216e-06 | 90683.938  |
| 0.019 |  297.1961854767  |  297.9906690262  | 2.2216e-06 | 90686.396  |
| 0.019 |  298.7851525892  |  299.579668963   | 2.2216e-06 | 90688.868  |
| 0.019 |  300.3741853505  |  301.1687346986  | 2.2216e-06 | 90691.352  |
| 0.019 |  301.9632840607  |  302.7578665672  | 2.2216e-06 | 90693.849  |
| 0.019 |  303.5524490878  |  304.3470649027  | 2.2216e-06 |  90696.36  |
| 0.019 |  305.1416807319  |  305.9363300325  | 2.2216e-06 | 90698.884  |
| 0.019 |  306.7309793476  |  307.5256622769  | 2.2216e-06 |  90701.42  |
|  0.02 |  308.3203452211  |  309.1150619702  | 2.2216e-06 |  90703.97  |
|  0.02 |  309.9097787344  |  310.7045294601  | 2.2215e-06 | 90706.533  |
|  0.02 |  311.499280201   |  312.2940650601  | 2.2215e-06 | 90709.108  |
|  0.02 |  313.0888499347  |  313.8836691045  | 2.2215e-06 | 90711.697  |
|  0.02 |   314.67848829   |  315.473341934   | 2.2215e-06 | 90714.299  |
|  0.02 |  316.2681955941  |  317.0630838762  | 2.2215e-06 | 90716.914  |
|  0.02 |  317.8579721745  |  318.652895265   | 2.2215e-06 | 90719.542  |
|  0.02 |  319.447818372   |  320.242776421   | 2.2215e-06 | 90722.183  |
|  0.02 |  321.0377344868  |  321.832727692   | 2.2215e-06 | 90724.838  |
|  0.02 |  322.6277209142  |  323.4227494189  | 2.2215e-06 | 90727.505  |
|  0.02 |  324.2177779408  |  325.012841929   | 2.2215e-06 | 90730.185  |
| 0.021 |  325.8079059347  |  326.6030055565  | 2.2214e-06 | 90732.878  |
| 0.021 |  327.3981051961  |  328.193240622   | 2.2214e-06 | 90735.585  |
| 0.021 |  328.9883760659  |  329.7835474732  | 2.2214e-06 | 90738.304  |
| 0.021 |  330.5787188988  |  331.3739264512  | 2.2214e-06 | 90741.037  |
| 0.021 |  332.1691340221  |  332.9643778628  | 2.2214e-06 | 90743.782  |
| 0.021 |  333.7596217223  |  334.5549020355  | 2.2214e-06 | 90746.541  |
| 0.021 |  335.3501823678  |  336.1454993171  | 2.2214e-06 | 90749.312  |
| 0.021 |  336.9408162858  |  337.7361700758  | 2.2214e-06 | 90752.097  |
| 0.021 |  338.5315238854  |  339.3269146526  | 2.2214e-06 | 90754.895  |
| 0.022 |  340.1223054397  |  340.9177333409  | 2.2214e-06 | 90757.705  |
| 0.022 |  341.7131612624  |  342.5086264546  | 2.2213e-06 | 90760.529  |
| 0.022 |  343.3040916673  |  344.0995943482  | 2.2213e-06 | 90763.366  |
| 0.022 |  344.8950970498  |   345.69063739   | 2.2213e-06 | 90766.216  |
| 0.022 |  346.4861777512  |  347.2817559006  | 2.2213e-06 | 90769.079  |
| 0.022 |  348.0773340715  |  348.872950194   | 2.2213e-06 | 90771.955  |
| 0.022 |  349.6685663382  |  350.4642206111  | 2.2213e-06 | 90774.844  |
| 0.022 |  351.259874906   |  352.0555674998  | 2.2213e-06 | 90777.746  |
| 0.022 |  352.8512601159  |  353.6469911876  | 2.2213e-06 | 90780.661  |
| 0.022 |  354.4427222819  |  355.2384920292  | 2.2213e-06 | 90783.589  |
| 0.023 |  356.0342617994  |  356.8300703656  | 2.2212e-06 |  90786.53  |
| 0.023 |  357.6258789551  |  358.4217264836  | 2.2212e-06 | 90789.484  |
| 0.023 |  359.2175740356  |  360.0134607378  | 2.2212e-06 | 90792.451  |
| 0.023 |  360.8093474638  |  361.6052734898  | 2.2212e-06 | 90795.432  |
| 0.023 |  362.4011995398  |  363.197165067   | 2.2212e-06 | 90798.425  |
| 0.023 |  363.9931306185  |  364.789135797   | 2.2212e-06 | 90801.431  |
| 0.023 |  365.5851410002  |  366.3811860073  | 2.2212e-06 | 90804.451  |
| 0.023 |  367.1772310394  |  367.973316039   | 2.2212e-06 | 90807.483  |
| 0.023 |  368.7694010639  |  369.5655262129  | 2.2212e-06 | 90810.528  |
| 0.023 |  370.3616513875  |  371.1578169041  | 2.2211e-06 | 90813.587  |
| 0.024 |  371.9539824467  |  372.7501884334  | 2.2211e-06 | 90816.658  |
| 0.024 |  373.5463944465  |  374.3426411216  | 2.2211e-06 | 90819.743  |
| 0.024 |  375.1388878234  |  375.9351753233  | 2.2211e-06 |  90822.84  |
| 0.024 |  376.7314628504  |  377.5277913595  | 2.2211e-06 | 90825.951  |
| 0.024 |  378.324119896   |  379.1204895848  | 2.2211e-06 | 90829.074  |
| 0.024 |  379.9168593014  |  380.7132703201  | 2.2211e-06 | 90832.211  |
| 0.024 |  381.509681367   |  382.3061339134  | 2.2211e-06 |  90835.36  |
| 0.024 |  383.1025864883  |  383.8990806991  | 2.221e-06  | 90838.523  |
| 0.024 |  384.6955749386  |  385.4921110115  | 2.221e-06  | 90841.699  |
| 0.024 |  386.2886471135  |  387.0852251919  | 2.221e-06  | 90844.887  |
| 0.024 |  387.8818032999  |  388.6784235816  | 2.221e-06  | 90848.089  |
| 0.025 |  389.4750438933  |  390.271706515   | 2.221e-06  | 90851.304  |
| 0.025 |  391.068369167   |  391.8650743129  | 2.221e-06  | 90854.531  |
| 0.025 |  392.6617794895  |  393.4585273302  | 2.221e-06  | 90857.772  |
| 0.025 |  394.2552752019  |  395.0520658945  | 2.221e-06  | 90861.026  |
| 0.025 |  395.8488566184  |  396.6456903403  | 2.221e-06  | 90864.293  |
| 0.025 |  397.4425240939  |  398.2394010157  | 2.2209e-06 | 90867.572  |
| 0.025 |  399.0362779696  |  399.8331982619  | 2.2209e-06 | 90870.865  |
| 0.025 |  400.6301185868  |  401.4270824067  | 2.2209e-06 | 90874.171  |
| 0.025 |  402.2240462596  |  403.021053771   | 2.2209e-06 |  90877.49  |
| 0.026 |  403.8180613157  |  404.6151127232  | 2.2209e-06 | 90880.821  |
| 0.026 |  405.4121641644  |  406.2092595979  | 2.2209e-06 | 90884.166  |
| 0.026 |  407.0063550655  |  407.8034947023  | 2.2209e-06 | 90887.524  |
| 0.026 |  408.6006343738  |  409.3978183847  | 2.2209e-06 | 90890.895  |
| 0.026 |  410.1950024306  |  410.9922309796  | 2.2208e-06 | 90894.279  |
| 0.026 |  411.7894595638  |  412.5867328418  | 2.2208e-06 | 90897.675  |
| 0.026 |  413.3840061555  |  414.1813243128  | 2.2208e-06 | 90901.085  |
| 0.026 |  414.9786425063  |  415.7760057204  | 2.2208e-06 | 90904.508  |
| 0.026 |  416.573368971   |  417.370777399   | 2.2208e-06 | 90907.944  |
| 0.026 |  418.168185864   |  418.9656396901  | 2.2208e-06 | 90911.393  |
| 0.027 |  419.7630935537  |  420.5605929351  | 2.2208e-06 | 90914.855  |
| 0.027 |  421.3580923544  |  422.1556374753  | 2.2207e-06 | 90918.329  |
| 0.027 |  422.9531826346  |  423.7507736318  | 2.2207e-06 | 90921.817  |
| 0.027 |  424.5483646678  |  425.346001746   | 2.2207e-06 | 90925.318  |
| 0.027 |  426.1436388633  |  426.941322166   | 2.2207e-06 | 90928.832  |
| 0.027 |  427.7390055083  |  428.5367352198  | 2.2207e-06 | 90932.359  |
| 0.027 |  429.3344649713  |  430.1322412623  | 2.2207e-06 | 90935.898  |
| 0.027 |  430.9300175938  |  431.7278406146  | 2.2207e-06 | 90939.451  |
| 0.027 |  432.5256636764  |  433.3235336045  | 2.2207e-06 | 90943.017  |
| 0.027 |  434.1214035741  |  434.9193205872  | 2.2206e-06 | 90946.596  |
| 0.028 |  435.7172376421  |  436.515201904   | 2.2206e-06 | 90950.188  |
| 0.028 |  437.3131662083  |  438.111177883   | 2.2206e-06 | 90953.792  |
| 0.028 |  438.9091896004  |  439.7072488654  | 2.2206e-06 |  90957.41  |
| 0.028 |  440.5053081736  |  441.3034151793  | 2.2206e-06 | 90961.041  |
| 0.028 |  442.1015222286  |  442.8996771729  | 2.2206e-06 | 90964.684  |
| 0.028 |  443.6978321614  |  444.496035181   | 2.2206e-06 | 90968.341  |
| 0.028 |  445.2942382453  |  446.0924895382  | 2.2205e-06 | 90972.011  |
| 0.028 |  446.8907408764  |  447.689040593   | 2.2205e-06 | 90975.693  |
| 0.028 |  448.4873403553  |  449.2856886732  | 2.2205e-06 | 90979.389  |
| 0.028 |  450.0840370373  |  450.8824341204  | 2.2205e-06 | 90983.098  |
| 0.028 |  451.6808312502  |  452.4792772626  | 2.2205e-06 | 90986.819  |
| 0.029 |  453.2777233221  |  454.0762184548  | 2.2205e-06 | 90990.554  |
| 0.029 |  454.8747136352  |  455.6732580388  | 2.2205e-06 | 90994.301  |
| 0.029 |  456.4718024905  |  457.2703963356  | 2.2204e-06 | 90998.062  |
| 0.029 |  458.0689902294  |  458.8676336801  | 2.2204e-06 | 91001.835  |
| 0.029 |   459.66627718   |  460.464970407   | 2.2204e-06 | 91005.622  |
| 0.029 |  461.2636636838  |  462.0624068648  | 2.2204e-06 | 91009.421  |
| 0.029 |  462.8611500961  |  463.6599434019  | 2.2204e-06 | 91013.233  |
| 0.029 |  464.4587367585  |  465.2575803395  | 2.2204e-06 | 91017.059  |
| 0.029 |  466.0564239718  |  466.8553180329  | 2.2204e-06 | 91020.897  |
|  0.03 |  467.6542121458  |  468.4531568169  | 2.2203e-06 | 91024.748  |
|  0.03 |  469.2521015403  |  470.0510970127  | 2.2203e-06 | 91028.613  |
|  0.03 |  470.8500925379  |  471.6491389552  | 2.2203e-06 |  91032.49  |
|  0.03 |  472.4481854259  |  473.2472829861  | 2.2203e-06 |  91036.38  |
|  0.03 |  474.0463806003  |  474.8455294539  | 2.2203e-06 | 91040.283  |
|  0.03 |  475.644678362   |  476.4438787003  | 2.2203e-06 | 91044.199  |
|  0.03 |  477.2430790935  |  478.0423310601  | 2.2203e-06 | 91048.128  |
|  0.03 |  478.8415830822  |  479.6408868546  | 2.2202e-06 |  91052.07  |
|  0.03 |  480.4401906832  |  481.2395464393  | 2.2202e-06 | 91056.025  |
|  0.03 |  482.0389022521  |  482.838310149   | 2.2202e-06 | 91059.993  |
| 0.031 |  483.6377181032  |  484.4371783118  | 2.2202e-06 | 91063.974  |
| 0.031 |  485.2366385783  |  486.0361512696  | 2.2202e-06 | 91067.968  |
| 0.031 |  486.8356640192  |  487.635229364   | 2.2202e-06 | 91071.975  |
| 0.031 |  488.4347947677  |  489.2344129368  | 2.2202e-06 | 91075.994  |
| 0.031 |  490.0340311655  |  490.8337023231  | 2.2201e-06 | 91080.027  |
| 0.031 |  491.6333735408  |  492.4330978577  | 2.2201e-06 | 91084.073  |
| 0.031 |  493.2328222354  |  494.0325998826  | 2.2201e-06 | 91088.131  |
| 0.031 |  494.832377591   |  495.6322087258  | 2.2201e-06 | 91092.203  |
| 0.031 |  496.4320399224  |  497.2319247088  | 2.2201e-06 | 91096.287  |
| 0.031 |  498.0318095576  |  498.8317482006  | 2.2201e-06 | 91100.385  |
| 0.032 |  499.6316869066  |  500.4316795363  |  2.22e-06  | 91104.495  |
| 0.032 |  501.2316722296  |  502.0317190237  |  2.22e-06  | 91108.618  |
| 0.032 |  502.831765882   |  503.631867025   |  2.22e-06  | 91112.755  |
| 0.032 |  504.4319682329  |  505.232123889   |  2.22e-06  | 91116.904  |
| 0.032 |  506.0322796106  |  506.8324899235  |  2.22e-06  | 91121.066  |
| 0.032 |  507.6327003025  |  508.4329654771  |  2.22e-06  | 91125.241  |
| 0.032 |  509.2332307185  |  510.0335509122  |  2.22e-06  | 91129.429  |
| 0.032 |  510.8338711733  |  511.6342465435  | 2.2199e-06 |  91133.63  |
| 0.032 |  512.4346219817  |  513.2350527061  | 2.2199e-06 | 91137.844  |
